,Date,Price,Open,High,Low,Volume,% Change
181,"Mar 20, 2020",175.50,165.10,176.50,165.10,62.00M,8.43%
182,"Mar 19, 2020",161.85,150.70,163.55,144.75,89.75M,7.40%
183,"Mar 18, 2020",150.70,152.10,154.65,147.35,50.25M,1.04%
184,"Mar 17, 2020",149.15,148.00,155.80,146.05,47.66M,1.29%
185,"Mar 16, 2020",147.25,158.00,158.10,145.25,33.26M,-9.24%
186,"Mar 13, 2020",162.25,150.00,164.00,134.60,61.59M,4.14%
187,"Mar 12, 2020",155.80,169.00,169.15,150.55,52.04M,-11.30%
188,"Mar 11, 2020",175.65,174.00,176.75,172.35,27.96M,-0.87%
189,"Mar 09, 2020",177.20,179.00,179.00,174.50,21.80M,-2.50%
190,"Mar 06, 2020",181.75,184.85,184.85,179.75,26.76M,-3.35%
191,"Mar 05, 2020",188.05,187.55,191.20,186.55,20.03M,0.29%
192,"Mar 04, 2020",187.50,194.95,195.55,186.55,27.66M,-3.28%
193,"Mar 03, 2020",193.85,197.00,197.45,192.55,17.95M,-0.74%
194,"Mar 02, 2020",195.30,199.50,203.45,193.65,18.56M,-1.14%
195,"Feb 28, 2020",197.55,195.00,199.90,192.05,32.63M,0.00%
196,"Feb 27, 2020",197.55,198.40,199.15,195.90,17.27M,-0.53%
197,"Feb 26, 2020",198.60,200.65,201.95,196.30,17.87M,-1.59%
198,"Feb 25, 2020",201.80,203.80,205.40,201.50,15.31M,-0.59%
199,"Feb 24, 2020",203.00,207.00,207.45,201.80,16.59M,-2.15%
200,"Feb 20, 2020",207.45,207.00,208.55,205.45,15.59M,0.36%
201,"Feb 19, 2020",206.70,205.25,207.15,203.85,9.05M,1.40%
202,"Feb 18, 2020",203.85,204.55,204.60,200.50,20.93M,-0.46%
203,"Feb 17, 2020",204.80,208.00,208.65,204.00,15.56M,-1.40%
204,"Feb 14, 2020",207.70,212.25,212.90,206.80,13.73M,-1.98%
205,"Feb 13, 2020",211.90,213.05,213.45,211.20,9.15M,-0.54%
206,"Feb 12, 2020",213.05,213.40,214.80,211.80,9.93M,0.21%
207,"Feb 11, 2020",212.60,216.50,216.95,211.80,29.80M,0.97%
208,"Feb 10, 2020",210.55,214.00,214.05,210.05,9.62M,-1.34%
209,"Feb 07, 2020",213.40,213.80,215.70,212.75,17.13M,-0.07%
210,"Feb 06, 2020",213.55,218.00,219.90,211.80,27.39M,-1.34%
211,"Feb 05, 2020",216.45,216.30,217.50,211.50,21.25M,0.37%
212,"Feb 04, 2020",215.65,210.80,217.60,209.15,35.77M,3.88%
213,"Feb 03, 2020",207.60,215.00,216.90,205.00,79.76M,-5.21%
214,"Feb 01, 2020",219.00,236.60,239.10,215.65,42.27M,-6.87%
215,"Jan 31, 2020
E",235.15,235.75,238.40,234.05,18.46M,0.47%
216,"Jan 30, 2020",234.05,236.95,237.00,233.00,10.39M,-1.10%
217,"Jan 29, 2020",236.65,231.50,237.65,231.15,20.47M,2.56%
218,"Jan 28, 2020",230.75,234.75,235.90,230.50,14.58M,-1.64%
219,"Jan 27, 2020",234.60,237.00,237.40,234.30,6.84M,-1.49%
220,"Jan 24, 2020",238.15,237.40,239.10,237.00,6.80M,0.11%
221,"Jan 23, 2020",237.90,238.10,238.75,236.90,6.12M,-0.06%
222,"Jan 22, 2020",238.05,239.60,239.60,237.10,7.65M,-0.17%
223,"Jan 21, 2020",238.45,241.45,241.45,238.00,9.57M,-1.43%
224,"Jan 20, 2020",241.90,240.05,243.25,240.05,8.02M,0.81%
225,"Jan 17, 2020",239.95,240.75,242.10,239.40,7.39M,-0.33%
226,"Jan 16, 2020",240.75,242.50,243.90,240.10,9.37M,-0.68%
227,"Jan 15, 2020",242.40,242.55,243.00,241.10,5.48M,-0.35%
228,"Jan 14, 2020",243.25,240.25,243.80,238.30,11.84M,1.67%
229,"Jan 13, 2020",239.25,238.50,240.50,238.25,12.24M,0.53%
230,"Jan 10, 2020",238.00,237.60,238.75,236.80,9.97M,0.93%
231,"Jan 09, 2020",235.80,235.60,236.60,235.05,9.45M,0.68%
232,"Jan 08, 2020",234.20,234.00,235.80,233.25,7.04M,-0.49%
233,"Jan 07, 2020",235.35,236.05,237.90,234.60,8.42M,0.11%
234,"Jan 06, 2020",235.10,237.50,238.30,235.00,7.64M,-1.43%
235,"Jan 03, 2020",238.50,241.00,241.00,238.00,9.28M,-0.56%
236,"Jan 02, 2020",239.85,238.20,240.95,238.10,8.40M,0.73%
237,"Jan 01, 2020",238.10,238.60,238.60,237.10,4.21M,0.17%
238,"Dec 31, 2019",237.70,238.55,238.95,237.40,7.14M,-0.21%
239,"Dec 30, 2019",238.20,238.00,240.90,237.50,13.17M,0.55%
240,"Dec 27, 2019",236.90,237.50,238.45,236.45,8.71M,0.04%
241,"Dec 26, 2019",236.80,238.90,239.40,236.35,14.46M,-0.82%
242,"Dec 24, 2019",238.75,239.00,240.20,238.20,7.90M,-0.06%
243,"Dec 23, 2019",238.90,242.00,242.80,238.65,19.08M,-0.93%
244,"Dec 20, 2019",241.15,244.35,245.10,240.15,13.96M,-1.31%
245,"Dec 19, 2019",244.35,246.05,247.90,243.25,9.34M,-0.33%
246,"Dec 18, 2019",245.15,240.60,247.35,239.75,17.13M,1.70%
247,"Dec 17, 2019",241.05,237.50,241.70,237.50,15.92M,1.75%
248,"Dec 16, 2019",236.90,243.00,243.40,236.35,12.01M,-1.95%
249,"Dec 13, 2019",241.60,240.00,242.50,239.20,8.21M,1.28%
250,"Dec 12, 2019",238.55,238.05,240.20,237.60,10.31M,0.40%
